Division,Rank,Fighter,Gym,City,Country,Latitude,Longitude
Middleweight,6,Anthony Hernandez,Team Alpha Male,Sacramento,USA,38.5816,-121.4944
Middleweight,7,Caio Borralho,American Top Team,Coconut Creek,USA,26.2517,-80.1789
Middleweight,8,Reinier de Ridder,Combat Brothers,Breda,Netherlands,51.5719,4.7683
Middleweight,9,Robert Whittaker,MMA Shredded,Sydney,Australia,-33.8688,151.2093
Middleweight,10,Jared Cannonier,MMA Lab,Glendale,USA,33.5387,-112.1860
Welterweight,C,Islam Makhachev,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863
Welterweight,1,Jack Della Maddalena,Scrappy MMA,Perth,Australia,-31.9505,115.8605
Welterweight,2,Ian Machado Garry,Sanford MMA,Deerfield Beach,USA,26.3184,-80.0998
Welterweight,3,Michael Morales,Entram Gym,Tijuana,Mexico,32.5149,-117.0382
Welterweight,4,Belal Muhammad,Roufusport,Milwaukee,USA,43.0389,-87.9065
Welterweight,5,Carlos Prates,Chute Boxe,Curitiba,Brazil,-25.4284,-49.2733
Welterweight,6,Sean Brady,Daniel Gracie Academy,Philadelphia,USA,39.9526,-75.1652
Welterweight,7,Kamaru Usman,Sanford MMA,Deerfield Beach,USA,26.3184,-80.0998
Welterweight,8,Leon Edwards,Flow Academy,Birmingham,England,52.4862,-1.8904
Welterweight,9,Joaquin Buckley,Xtreme Couture,Las Vegas,USA,36.1699,-115.1398
Welterweight,10,Gabriel Bonfim,Fight Sports,Miami,USA,25.7617,-80.1918
Lightweight,C,Ilia Topuria,Topuria MMA,Valencia,Spain,39.4699,-0.3763
Lightweight,IC,Justin Gaethje,Elevation Fight Team,Denver,USA,39.7392,-104.9903
Lightweight,2,Arman Tsarukyan,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863
Lightweight,3,Charles Oliveira,Chute Boxe Diego Lima,Guaruja,Brazil,-23.9935,-46.2564
Lightweight,4,Max Holloway,Gracie Technics,Waianae,USA,21.4472,-158.1859
Lightweight,5,Benoit Saint Denis,Team Pantera,Paris,France,48.8566,2.3522
Lightweight,6,Paddy Pimblett,Next Gen MMA,Liverpool,England,53.4084,-2.9916
Lightweight,7,Mateusz Gamrot,WCA Fight Team,Warsaw,Poland,52.2297,21.0122
Lightweight,8,Dan Hooker,City Kickboxing,Auckland,New Zealand,-36.8485,174.7633
Lightweight,9,Mauricio Ruffy,Nova Uniao,Rio de Janeiro,Brazil,-22.9068,-43.1729
Lightweight,10,Renato Moicano,American Top Team,Coconut Creek,USA,26.2517,-80.1789
Featherweight,C,Alexander Volkanovski,City Kickboxing,Auckland,New Zealand,-36.8485,174.7633
Featherweight,1,Movsar Evloev,Eagles MMA,Makhachkala,Russia,42.9849,47.5047
Featherweight,2,Diego Lopes,Fight Ready MMA,Scottsdale,USA,33.4942,-111.9261
Featherweight,3,Lerone Murphy,Athletix MMA,Manchester,England,53.4808,-2.2426
Featherweight,4,Yair Rodriguez,Lobo Gym,Guadalajara,Mexico,20.6597,-103.3496
Featherweight,5,Aljamain Sterling,Serra-Longo Fight Team,Long Island,USA,40.7891,-73.1350
Featherweight,6,Jean Silva,Nova Uniao,Rio de Janeiro,Brazil,-22.9068,-43.1729
Featherweight,7,Arnold Allen,Team Titan,Ipswich,England,52.0567,1.1482
Featherweight,8,Youssef Zalal,Factory X Muay Thai,Denver,USA,39.7392,-104.9903
Featherweight,9,Steve Garcia,Jackson Wink MMA Academy,Albuquerque,USA,35.0844,-106.6504
Featherweight,10,Brian Ortega,RVCA Sport,Torrance,USA,33.8358,-118.3406
Bantamweight,C,Petr Yan,Tiger Muay Thai,Phuket,Thailand,7.8804,98.3923
Bantamweight,1,Merab Dvalishvili,Serra-Longo Fight Team,Long Island,USA,40.7891,-73.1350
Bantamweight,2,Umar Nurmagomedov,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863
Bantamweight,3,Sean O'Malley,MMA Lab,Glendale,USA,33.5387,-112.1860
Bantamweight,4,Cory Sandhagen,Elevation Fight Team,Denver,USA,39.7392,-104.9903
Bantamweight,5,Song Yadong,Team Alpha Male,Sacramento,USA,38.5816,-121.4944
Bantamweight,6,Aiemann Zahabi,Tristar Gym,Montreal,Canada,45.5017,-73.5673
Bantamweight,7,Deiveson Figueiredo,Fight Ready MMA,Scottsdale,USA,33.4942,-111.9261
Bantamweight,8,Mario Bautista,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863
Bantamweight,9,Marlon Vera,Chute Boxe,San Diego,USA,32.7157,-117.1611
Bantamweight,10,David Martinez,Bonebreakers MMA,Mexico City,Mexico,19.4326,-99.1332
Flyweight,C,Joshua Van,Xtreme Couture,Las Vegas,USA,36.1699,-115.1398
Flyweight,1,Alexandre Pantoja,American Top Team,Coconut Creek,USA,26.2517,-80.1789
Flyweight,2,Manel Kape,SBG Ireland,Dublin,Ireland,53.3498,-6.2603
Flyweight,3,Tatsuro Taira,Tribe Tokyo MMA,Tokyo,Japan,35.6762,139.6503
Flyweight,4,Brandon Royval,Factory X Muay Thai,Denver,USA,39.7392,-104.9903
Flyweight,5,Kyoji Horiguchi,American Top Team,Coconut Creek,USA,26.2517,-80.1789
Flyweight,6,Brandon Moreno,Entram Gym,Tijuana,Mexico,32.5149,-117.0382
Flyweight,7,Amir Albazi,Allstars Training Center,Stockholm,Sweden,59.3293,18.0686
Flyweight,8,Asu Almabayev,Tiger Muay Thai,Phuket,Thailand,7.8804,98.3923
Flyweight,9,Tim Elliott,Factory X Muay Thai,Denver,USA,39.7392,-104.9903
Flyweight,10,Alex Perez,Team Alpha Male,Sacramento,USA,38.5816,-121.4944
Women's Bantamweight,C,Kayla Harrison,American Top Team,Coconut Creek,USA,26.2517,-80.1789
Women's Bantamweight,1,Julianna Pena,SikJitsu,Pasco,USA,46.2396,-119.1006
Women's Bantamweight,2,Raquel Pennington,Jackson Wink MMA Academy,Albuquerque,USA,35.0844,-106.6504
Women's Bantamweight,3,Norma Dumont,Chute Boxe Diego Lima,Belo Horizonte,Brazil,-19.9167,-43.9345
Women's Bantamweight,4,Ketlen Vieira,Nova Uniao,Rio de Janeiro,Brazil,-22.9068,-43.1729
Women's Bantamweight,5,Yana Santos,ATT,Coconut Creek,USA,26.2517,-80.1789
Women's Bantamweight,6,Irene Aldana,Lobo Gym,Guadalajara,Mexico,20.6597,-103.3496
Women's Bantamweight,7,Ailin Perez,Entram Gym,Buenos Aires,Argentina,-34.6037,-58.3816
Women's Bantamweight,8,Macy Chiasson,Fortis MMA,Dallas,USA,32.7767,-96.7970
Women's Bantamweight,9,Karol Rosa,Nova Uniao,Rio de Janeiro,Brazil,-22.9068,-43.1729
Women's Bantamweight,10,Jacqueline Cavalcanti,SBG Ireland,Dublin,Ireland,53.3498,-6.2603
Women's Flyweight,C,Valentina Shevchenko,Xtreme Couture,Las Vegas,USA,36.1699,-115.1398
Women's Flyweight,1,Natalia Silva,American Top Team,Coconut Creek,USA,26.2517,-80.1789
Women's Flyweight,1,Manon Fiorot,MMA Factory,Rungis,France,48.7465,2.3508
Women's Flyweight,3,Alexa Grasso,Lobo Gym,Guadalajara,Mexico,20.6597,-103.3496
Women's Flyweight,4,Erin Blanchfield,Fight Firm,Fairfield,USA,41.1412,-73.2637
Women's Flyweight,5,Maycee Barber,Elevation Fight Team,Denver,USA,39.7392,-104.9903
Women's Flyweight,6,Jasmine Jasudavicius,Joslin MMA,Hamilton,Canada,43.2557,-79.8711
Women's Flyweight,7,Rose Namajunas,Grudge Training Center,Denver,USA,39.7392,-104.9903
Women's Flyweight,8,Tracy Cortez,Fight Ready MMA,Scottsdale,USA,33.4942,-111.9261
Women's Flyweight,9,Karine Silva,Striker House,Uberlandia,Brazil,-18.9186,-48.2772
Women's Flyweight,10,Miranda Maverick,Sanford MMA,Deerfield Beach,USA,26.3184,-80.0998
Women's Strawweight,C,Mackenzie Dern,MMA Masters,Miami,USA,25.7617,-80.1918
Women's Strawweight,1,Zhang Weili,Black Tiger Fight Club,Beijing,China,39.9042,116.4074
Women's Strawweight,2,Tatiana Suarez,Team Oyama,Los Angeles,USA,34.0522,-118.2437
Women's Strawweight,3,Virna Jandiroba,Fight Sports,Miami,USA,25.7617,-80.1918
Women's Strawweight,4,Yan Xiaonan,Black Tiger Fight Club,Beijing,China,39.9042,116.4074
Women's Strawweight,5,Amanda Lemos,Favo de Mel BJJ,Joao Pessoa,Brazil,-7.1195,-34.8450
Women's Strawweight,6,Loopy Godinez,Lobo Gym,Guadalajara,Mexico,20.6597,-103.3496
Women's Strawweight,7,Tabatha Ricci,Evolucao Thai,Sao Paulo,Brazil,-23.5505,-46.6333
Women's Strawweight,8,Gillian Robertson,Xtreme Couture,Las Vegas,USA,36.1699,-115.1398
Women's Strawweight,9,Jessica Andrade,American Top Team,Coconut Creek,USA,26.2517,-80.1789
Women's Strawweight,10,Amanda Ribas,American Top Team,Coconut Creek,USA,26.2517,-80.1789
