Division,Rank,Fighter,Gym,City,Country,Latitude,Longitude,Nationality
Lightweight,7,Dan Hooker,City Kickboxing,Auckland,New Zealand,-36.8485,174.7633,New Zealand
Lightweight,8,Mateusz Gamrot,American Top Team,Coconut Creek,USA,26.2806,-80.183,Poland
Lightweight,9,Mauricio Ruffy,Chute Boxe Diego Lima,Sao Paulo,Brazil,-23.5505,-46.6333,Brazil
Lightweight,10,Rafael Fiziev,Tiger Muay Thai,Phuket,Thailand,7.8906,98.3981,Kyrgyzstan
Lightweight,10,Renato Moicano,American Top Team,Coconut Creek,USA,26.2806,-80.183,Brazil
Welterweight,C,Islam Makhachev,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863,Russia
Welterweight,1,Jack Della Maddalena,Scrappy MMA,Perth,Australia,-31.9505,115.8605,Australia
Welterweight,2,Ian Machado Garry,Chute Boxe Diego Lima,Sao Paulo,Brazil,-23.5505,-46.6333,Ireland
Welterweight,3,Michael Morales,Entram Gym,Tijuana,Mexico,32.5149,-117.0382,Ecuador
Welterweight,4,Belal Muhammad,Roufusport,Milwaukee,USA,43.0389,-87.9065,USA
Welterweight,5,Carlos Prates,Chute Boxe Diego Lima,Sao Paulo,Brazil,-23.5505,-46.6333,Brazil
Welterweight,6,Sean Brady,Renzo Gracie Philly,Philadelphia,USA,39.9526,-75.1652,USA
Welterweight,7,Kamaru Usman,ONX Labs,Phoenix,USA,33.4484,-112.074,Nigeria
Welterweight,8,Leon Edwards,Team Renegade,Birmingham,United Kingdom,52.4862,-1.8904,United Kingdom
Welterweight,9,Joaquin Buckley,Finney’s HIT Squad,St. Louis,USA,38.627,-90.1994,USA
Welterweight,10,Gabriel Bonfim,Constrictor Team,Brasilia,Brazil,-15.7975,-47.8919,Brazil
Middleweight,C,Khamzat Chimaev,Allstars Training Center,Stockholm,Sweden,59.3293,18.0686,Russia
Middleweight,1,Dricus Du Plessis,Team CIT,Pretoria,South Africa,-25.7479,28.2293,South Africa
Middleweight,2,Nassourdine Imavov,MMA Factory,Paris,France,48.8566,2.3522,Russia
Middleweight,3,Sean Strickland,Xtreme Couture,Las Vegas,USA,36.1147,-115.1728,USA
Middleweight,4,Israel Adesanya,City Kickboxing,Auckland,New Zealand,-36.8485,174.7633,Nigeria
Middleweight,5,Caio Borralho,Fighting Nerds,Sao Paulo,Brazil,-23.5505,-46.6333,Brazil
Middleweight,6,Brendan Allen,Roufusport,Milwaukee,USA,43.0389,-87.9065,USA
Middleweight,7,Anthony Hernandez,Team Alpha Male,Sacramento,USA,38.5816,-121.4944,USA
Middleweight,8,Reinier de Ridder,Gym Alkmaar,Alkmaar,Netherlands,52.6324,4.7534,Netherlands
Middleweight,9,Robert Whittaker,Gracie Jiu-Jitsu Smeaton Grange,Sydney,Australia,-34.0344,150.7583,Australia
Middleweight,10,Jared Cannonier,MMA Lab,Glendale,USA,33.5387,-112.1859,USA
Light Heavyweight,C,Alex Pereira,Glover Teixeira MMA,Danbury,USA,41.3948,-73.454,Brazil
Light Heavyweight,1,Magomed Ankalaev,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863,Russia
Light Heavyweight,2,Jiří Procházka,Jetsaam Gym Brno,Brno,Czech Republic,49.1951,16.6068,Czech Republic
Light Heavyweight,3,Carlos Ulberg,City Kickboxing,Auckland,New Zealand,-36.8485,174.7633,New Zealand
Light Heavyweight,4,Khalil Rountree Jr.,Syndicate MMA,Las Vegas,USA,36.1147,-115.1728,USA
Light Heavyweight,5,Jan Błachowicz,Berkut WCA Fight Team,Warsaw,Poland,52.2297,21.0122,Poland
Light Heavyweight,6,Azamat Murzakanov,Gorets MMA,Makhachkala,Russia,42.9764,47.5023,Russia
Light Heavyweight,7,Jamahal Hill,Black Lion Jiu-Jitsu,Grand Rapids,USA,42.9634,-85.6681,USA
Light Heavyweight,8,Bogdan Guskov,American Top Team,Coconut Creek,USA,26.2806,-80.183,Uzbekistan
Light Heavyweight,9,Volkan Oezdemir,Blackzilians,Fort Lauderdale,USA,26.1224,-80.1373,Switzerland
Light Heavyweight,10,Dominick Reyes,Cage Combat Academy,Victorville,USA,34.5362,-117.2912,USA
Heavyweight,C,Tom Aspinall,Team Kaobon,Liverpool,United Kingdom,53.4084,-2.9916,United Kingdom
Heavyweight,1,Ciryl Gane,MMA Factory,Paris,France,48.8566,2.3522,France
Heavyweight,2,Alexander Volkov,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863,Russia
Heavyweight,3,Sergei Pavlovich,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863,Russia
Heavyweight,4,Curtis Blaydes,Team Elevation,Aurora,USA,39.7294,-104.8319,USA
Heavyweight,4,Waldo Cortes Acosta,Factory X,Englewood,USA,39.6478,-104.9878,Dominican Republic
Heavyweight,6,Serghei Spivac,American Top Team,Coconut Creek,USA,26.2806,-80.183,Moldova
Heavyweight,7,Rizvan Kuniev,American Kickboxing Academy,San Jose,USA,37.3382,-121.8863,Russia
Heavyweight,8,Derrick Lewis,Silverback Fight Club,Houston,USA,29.7604,-95.3698,USA
Heavyweight,8,Marcin Tybura,Ankos MMA,Poznan,Poland,52.4064,16.9252,Poland
Heavyweight,10,Ante Delija,American Top Team,Coconut Creek,USA,26.2806,-80.183,Croatia
Women's Strawweight,C,Mackenzie Dern,Black House MMA,Los Angeles,USA,34.0522,-118.2437,USA
Women's Strawweight,1,Zhang Weili,Bangtao Muay Thai & MMA,Phuket,Thailand,7.8906,98.3981,China
Women's Strawweight,2,Tatiana Suarez,Millennia MMA,Rancho Cucamonga,USA,34.1064,-117.5931,USA
Women's Strawweight,3,Virna Jandiroba,American Top Team,Coconut Creek,USA,26.2806,-80.183,Brazil
Women's Strawweight,4,Yan Xiaonan,Team Alpha Male,Sacramento,USA,38.5816,-121.4944,China
Women's Strawweight,5,Gillian Robertson,American Top Team,Coconut Creek,USA,26.2806,-80.183,Canada
Women's Strawweight,6,Loopy Godinez,Team Titan MMA,Las Vegas,USA,36.1147,-115.1728,Mexico
Women's Strawweight,7,Tabatha Ricci,American Top Team,Coconut Creek,USA,26.2806,-80.183,Brazil
Women's Strawweight,8,Amanda Lemos,Marajo Brothers Team,Belem,Brazil,-1.4558,-48.4902,Brazil
Women's Strawweight,9,Jéssica Andrade,Parana Vale Tudo,Curitiba,Brazil,-25.4284,-49.2733,Brazil
Women's Strawweight,10,Amanda Ribas,American Top Team,Coconut Creek,USA,26.2806,-80.183,Brazil
Women's Flyweight,C,Valentina Shevchenko,Tiger Muay Thai,Phuket,Thailand,7.8906,98.3981,Kyrgyzstan
Women's Flyweight,1,Natalia Silva,Team Buda,Maceio,Brazil,-9.6498,-35.7089,Brazil
Women's Flyweight,2,Manon Fiorot,MMA Factory,Paris,France,48.8566,2.3522,France
Women's Flyweight,3,Erin Blanchfield,Renzo Gracie Academy,New York,USA,40.7128,-74.006,USA
Women's Flyweight,3,Alexa Grasso,Lobo Gym,Guadalajara,Mexico,20.6597,-103.3496,Mexico
Women's Flyweight,5,Maycee Barber,Team Alpha Male,Sacramento,USA,38.5816,-121.4944,USA
Women's Flyweight,6,Rose Namajunas,303 Training Center,Westminster,USA,39.8367,-105.0372,USA
Women's Flyweight,7,Jasmine Jasudavicius,Niagara Top Team,St. Catharines,Canada,43.1594,-79.2466,Canada
Women's Flyweight,8,Tracy Cortez,MMA Lab,Glendale,USA,33.5387,-112.1859,USA
Women's Flyweight,9,Miranda Maverick,Team Elevation,Aurora,USA,39.7294,-104.8319,USA
Women's Flyweight,10,Karine Silva,Fighting Nerds,Sao Paulo,Brazil,-23.5505,-46.6333,Brazil
Women's Bantamweight,C,Kayla Harrison,American Top Team,Coconut Creek,USA,26.2806,-80.183,USA
Women's Bantamweight,1,Julianna Peña,Chicago Fight Team,Chicago,USA,41.8781,-87.6298,USA
Women's Bantamweight,2,Raquel Pennington,Team Elevation,Aurora,USA,39.7294,-104.8319,USA
Women's Bantamweight,3,Norma Dumont,American Top Team,Coconut Creek,USA,26.2806,-80.183,Brazil
Women's Bantamweight,4,Ketlen Vieira,Nova Uniao,Rio de Janeiro,Brazil,-22.9068,-43.1729,Brazil
Women's Bantamweight,5,Yana Santos,American Top Team,Coconut Creek,USA,26.2806,-80.183,Russia
Women's Bantamweight,6,Irene Aldana,Lobo Gym,Guadalajara,Mexico,20.6597,-103.3496,Mexico
Women's Bantamweight,6,Ailin Perez,Fighting Nerds,Sao Paulo,Brazil,-23.5505,-46.6333,Argentina
Women's Bantamweight,8,Karol Rosa,Parana Vale Tudo,Curitiba,Brazil,-25.4284,-49.2733,Brazil
Women's Bantamweight,9,Macy Chiasson,Fortis MMA,Dallas,USA,32.7767,-96.797,USA
Women's Bantamweight,10,Jacqueline Cavalcanti,American Top Team,Coconut Creek,USA,26.2806,-80.183,Brazil
